nom,cognoms,curs,email,contrasenya,email,contrasenya
Josep,Sanchez Morales,DAM1,josep.sanchezmorales@insgabrielamistral.cat,C({$^|+p2%,josep.sanchezmorales@insgabrielamistral.cat,C({$^|+p2%
David,Torres Sanchez,1rESO,david.torressanchez@insgabrielamistral.cat,"VE3_k*f,h|",david.torressanchez@insgabrielamistral.cat,"VE3_k*f,h|"
David,Sanchez Colom,1rESO,david.sanchezcolom@insgabrielamistral.cat,"UWQYsD3Ta,",david.sanchezcolom@insgabrielamistral.cat,"UWQYsD3Ta,"
Laura,Torres Prat,SMIX1B,laura.torresprat@insgabrielamistral.cat,"06ZB[bJ,@.",laura.torresprat@insgabrielamistral.cat,"06ZB[bJ,@."
Laura,Garcia Colom,ASIX1,laura.garciacolom@insgabrielamistral.cat,c(4(#.&9Z:,laura.garciacolom@insgabrielamistral.cat,c(4(#.&9Z:
Jordi,Morales Ferrer,3rESO,jordi.moralesferrer@insgabrielamistral.cat,ty7MYMmX2],jordi.moralesferrer@insgabrielamistral.cat,ty7MYMmX2]
Nuria,Vidal Navarro,ASIX1,nuria.vidalnavarro@insgabrielamistral.cat,V}C:>]Y1Cn,nuria.vidalnavarro@insgabrielamistral.cat,V}C:>]Y1Cn
Sergi,Costa López,4rtESO,sergi.costalópez@insgabrielamistral.cat,2W{encY^C-,sergi.costalópez@insgabrielamistral.cat,2W{encY^C-
Josep,Navarro Martínez,SMIX1A,josep.navarromartínez@insgabrielamistral.cat,#A#WToVl51,josep.navarromartínez@insgabrielamistral.cat,#A#WToVl51
Anna,Sanchez Martínez,ASIX2,anna.sanchezmartínez@insgabrielamistral.cat,"<79a!2e-""b",anna.sanchezmartínez@insgabrielamistral.cat,"<79a!2e-""b"
Laura,Garcia Bosch,DAM1,laura.garciabosch@insgabrielamistral.cat,AcQf(H[Q?&,laura.garciabosch@insgabrielamistral.cat,AcQf(H[Q?&
Marta,Bosch Prat,3rESO,marta.boschprat@insgabrielamistral.cat,#[7]<:x1Qy,marta.boschprat@insgabrielamistral.cat,#[7]<:x1Qy
Josep,Morales Gomez,SMIX1A,josep.moralesgomez@insgabrielamistral.cat,6n_&Qz-!!z,josep.moralesgomez@insgabrielamistral.cat,6n_&Qz-!!z
Nuria,Vidal López,DAM2,nuria.vidallópez@insgabrielamistral.cat,"9QpQ'FD""nf",nuria.vidallópez@insgabrielamistral.cat,"9QpQ'FD""nf"
Mireia,Navarro López,ASIX1,mireia.navarrolópez@insgabrielamistral.cat,MJvPg}\~+q,mireia.navarrolópez@insgabrielamistral.cat,MJvPg}\~+q
Carles,Colom Vidal,1rESO,carles.colomvidal@insgabrielamistral.cat,f%j_R'hE9-,carles.colomvidal@insgabrielamistral.cat,f%j_R'hE9-
Albert,Torres Vidal,2nESO,albert.torresvidal@insgabrielamistral.cat,/*31?bWFCY,albert.torresvidal@insgabrielamistral.cat,/*31?bWFCY
Albert,Bosch Bosch,2nESO,albert.boschbosch@insgabrielamistral.cat,"qX[X""aw%00",albert.boschbosch@insgabrielamistral.cat,"qX[X""aw%00"
Carles,Ferrer Morales,1rESO,carles.ferrermorales@insgabrielamistral.cat,$ulKw<ZdVy,carles.ferrermorales@insgabrielamistral.cat,$ulKw<ZdVy
Albert,Mas Gomez,DAM2,albert.masgomez@insgabrielamistral.cat,X}0s(/G?Y%,albert.masgomez@insgabrielamistral.cat,X}0s(/G?Y%
Mireia,Navarro Vidal,ASIX2,mireia.navarrovidal@insgabrielamistral.cat,|uXt-Z$=\v,mireia.navarrovidal@insgabrielamistral.cat,|uXt-Z$=\v
Marta,Morales Colom,3rESO,marta.moralescolom@insgabrielamistral.cat,"]h(eE+""'J`",marta.moralescolom@insgabrielamistral.cat,"]h(eE+""'J`"
David,Ferrer Sanchez,DAM2,david.ferrersanchez@insgabrielamistral.cat,TgGS=E><-5,david.ferrersanchez@insgabrielamistral.cat,TgGS=E><-5
Josep,Vidal Sanchez,3rESO,josep.vidalsanchez@insgabrielamistral.cat,vt)I1W<KoW,josep.vidalsanchez@insgabrielamistral.cat,vt)I1W<KoW
Marta,Vidal Morales,DAM1,marta.vidalmorales@insgabrielamistral.cat,"""Xz}L{Kxa'",marta.vidalmorales@insgabrielamistral.cat,"""Xz}L{Kxa'"
Sandra,Costa Ribas,DAM1,sandra.costaribas@insgabrielamistral.cat,"""}mN<'iR5+",sandra.costaribas@insgabrielamistral.cat,"""}mN<'iR5+"
Jordi,Ferrer Ribas,ASIX1,jordi.ferrerribas@insgabrielamistral.cat,@_Aj80X8W=,jordi.ferrerribas@insgabrielamistral.cat,@_Aj80X8W=
Jordi,Ferrer Prat,3rESO,jordi.ferrerprat@insgabrielamistral.cat,iAD[agG}YY,jordi.ferrerprat@insgabrielamistral.cat,iAD[agG}YY
Sandra,Prat Martínez,ASIX1,sandra.pratmartínez@insgabrielamistral.cat,\~/3&ILk>z,sandra.pratmartínez@insgabrielamistral.cat,\~/3&ILk>z
Clara,Colom Martínez,SMIX1B,clara.colommartínez@insgabrielamistral.cat,m0>?}2@7tE,clara.colommartínez@insgabrielamistral.cat,m0>?}2@7tE
Mireia,Gomez Ribas,2nESO,mireia.gomezribas@insgabrielamistral.cat,t6qq*[*j_R,mireia.gomezribas@insgabrielamistral.cat,t6qq*[*j_R
Laura,Navarro Costa,4rtESO,laura.navarrocosta@insgabrielamistral.cat,TyzXlMfJW+,laura.navarrocosta@insgabrielamistral.cat,TyzXlMfJW+
Josep,Mas Sanchez,4rtESO,josep.massanchez@insgabrielamistral.cat,*r<P\}_bFZ,josep.massanchez@insgabrielamistral.cat,*r<P\}_bFZ
Clara,Ferrer Gomez,1rESO,clara.ferrergomez@insgabrielamistral.cat,xzBDok~:_!,clara.ferrergomez@insgabrielamistral.cat,xzBDok~:_!
Laura,Costa Torres,ASIX1,laura.costatorres@insgabrielamistral.cat,"P""T|??m(=s",laura.costatorres@insgabrielamistral.cat,"P""T|??m(=s"
Nuria,Martínez Bosch,DAM1,nuria.martínezbosch@insgabrielamistral.cat,"Pi,rW&='-S",nuria.martínezbosch@insgabrielamistral.cat,"Pi,rW&='-S"
Clara,Colom Costa,ASIX2,clara.colomcosta@insgabrielamistral.cat,=n8BQ#7s-O,clara.colomcosta@insgabrielamistral.cat,=n8BQ#7s-O
Anna,Bosch Prat,1rESO,anna.boschprat@insgabrielamistral.cat,'Fo;&!upT_,anna.boschprat@insgabrielamistral.cat,'Fo;&!upT_
Sandra,Prat Morales,ASIX2,sandra.pratmorales@insgabrielamistral.cat,BkTmk03aD\,sandra.pratmorales@insgabrielamistral.cat,BkTmk03aD\
Laura,Mas Bosch,3rESO,laura.masbosch@insgabrielamistral.cat,t>6Q<3)hyL,laura.masbosch@insgabrielamistral.cat,t>6Q<3)hyL
Marta,López Gomez,4rtESO,marta.lópezgomez@insgabrielamistral.cat,q2=UdAL}'0,marta.lópezgomez@insgabrielamistral.cat,q2=UdAL}'0
Mireia,Bosch Navarro,4rtESO,mireia.boschnavarro@insgabrielamistral.cat,sTI}xE.`J],mireia.boschnavarro@insgabrielamistral.cat,sTI}xE.`J]
Marta,Sanchez Gomez,3rESO,marta.sanchezgomez@insgabrielamistral.cat,LqulT#$E@z,marta.sanchezgomez@insgabrielamistral.cat,LqulT#$E@z
Joan,Navarro Bosch,1rESO,joan.navarrobosch@insgabrielamistral.cat,",R_)n3%?6~",joan.navarrobosch@insgabrielamistral.cat,",R_)n3%?6~"
Sergi,Costa Costa,1rESO,sergi.costacosta@insgabrielamistral.cat,JI`S'9DU3],sergi.costacosta@insgabrielamistral.cat,JI`S'9DU3]
Nuria,Gomez López,ASIX2,nuria.gomezlópez@insgabrielamistral.cat,"z{J$~OVt,8",nuria.gomezlópez@insgabrielamistral.cat,"z{J$~OVt,8"
Nuria,Vidal Ribas,2nESO,nuria.vidalribas@insgabrielamistral.cat,q>c+Ce[iYG,nuria.vidalribas@insgabrielamistral.cat,q>c+Ce[iYG
Joan,Navarro Mas,DAM1,joan.navarromas@insgabrielamistral.cat,|yO!*5\pSA,joan.navarromas@insgabrielamistral.cat,|yO!*5\pSA
Joan,Vidal López,ASIX2,joan.vidallópez@insgabrielamistral.cat,]tN|ckA#BY,joan.vidallópez@insgabrielamistral.cat,]tN|ckA#BY
Jordi,Ferrer Morales,ASIX1,jordi.ferrermorales@insgabrielamistral.cat,"^X/,98_7SN",jordi.ferrermorales@insgabrielamistral.cat,"^X/,98_7SN"
Anna,Morales Gomez,ASIX2,anna.moralesgomez@insgabrielamistral.cat,>G]Q<g(r:Y,anna.moralesgomez@insgabrielamistral.cat,>G]Q<g(r:Y
Anna,Colom Sanchez,3rESO,anna.colomsanchez@insgabrielamistral.cat,_Ne5{n#%l',anna.colomsanchez@insgabrielamistral.cat,_Ne5{n#%l'
David,Vidal Bosch,DAM1,david.vidalbosch@insgabrielamistral.cat,FQ>\8N.oDz,david.vidalbosch@insgabrielamistral.cat,FQ>\8N.oDz
Sandra,Prat Sanchez,3rESO,sandra.pratsanchez@insgabrielamistral.cat,mfq8E:%X^&,sandra.pratsanchez@insgabrielamistral.cat,mfq8E:%X^&
Marc,Vidal Garcia,3rESO,marc.vidalgarcia@insgabrielamistral.cat,d>9_II-3n%,marc.vidalgarcia@insgabrielamistral.cat,d>9_II-3n%
Sergi,Gomez Martínez,DAM2,sergi.gomezmartínez@insgabrielamistral.cat,TsE))hiG3G,sergi.gomezmartínez@insgabrielamistral.cat,TsE))hiG3G
Clara,Morales Gomez,2nESO,clara.moralesgomez@insgabrielamistral.cat,&/S3PAg#8m,clara.moralesgomez@insgabrielamistral.cat,&/S3PAg#8m
Sergi,Gomez Ribas,ASIX1,sergi.gomezribas@insgabrielamistral.cat,7@=[Td5c!J,sergi.gomezribas@insgabrielamistral.cat,7@=[Td5c!J
Sergi,Colom Costa,1rESO,sergi.colomcosta@insgabrielamistral.cat,Hr:pStx}I},sergi.colomcosta@insgabrielamistral.cat,Hr:pStx}I}
Nuria,Ferrer López,ASIX2,nuria.ferrerlópez@insgabrielamistral.cat,'B2O.cGa<U,nuria.ferrerlópez@insgabrielamistral.cat,'B2O.cGa<U
Sergi,Morales López,SMIX1A,sergi.moraleslópez@insgabrielamistral.cat,hCT{iJhV+I,sergi.moraleslópez@insgabrielamistral.cat,hCT{iJhV+I
Joan,Prat Sanchez,SMIX1B,joan.pratsanchez@insgabrielamistral.cat,"*I]&-E_<A,",joan.pratsanchez@insgabrielamistral.cat,"*I]&-E_<A,"
Nuria,Costa Prat,SMIX1B,nuria.costaprat@insgabrielamistral.cat,{@ceu=|;]4,nuria.costaprat@insgabrielamistral.cat,{@ceu=|;]4
Sergi,Morales Vidal,ASIX2,sergi.moralesvidal@insgabrielamistral.cat,H&JzZ=06qf,sergi.moralesvidal@insgabrielamistral.cat,H&JzZ=06qf
Sergi,Garcia Prat,SMIX1A,sergi.garciaprat@insgabrielamistral.cat,1+Km.fk#Pk,sergi.garciaprat@insgabrielamistral.cat,1+Km.fk#Pk
Clara,Bosch Torres,DAM1,clara.boschtorres@insgabrielamistral.cat,`|5&@=>T%%,clara.boschtorres@insgabrielamistral.cat,`|5&@=>T%%
Joan,Colom López,4rtESO,joan.colomlópez@insgabrielamistral.cat,GG6w+JE8:d,joan.colomlópez@insgabrielamistral.cat,GG6w+JE8:d
Sandra,Morales Sanchez,SMIX1A,sandra.moralessanchez@insgabrielamistral.cat,D.2KW3xG62,sandra.moralessanchez@insgabrielamistral.cat,D.2KW3xG62
Marta,Vidal Ferrer,1rESO,marta.vidalferrer@insgabrielamistral.cat,k'+F|{dhR*,marta.vidalferrer@insgabrielamistral.cat,k'+F|{dhR*
Sergi,Bosch Ribas,1rESO,sergi.boschribas@insgabrielamistral.cat,"6H;I<,2b(#",sergi.boschribas@insgabrielamistral.cat,"6H;I<,2b(#"
Sandra,Sanchez Mas,1rESO,sandra.sanchezmas@insgabrielamistral.cat,v&kQvp^~oI,sandra.sanchezmas@insgabrielamistral.cat,v&kQvp^~oI
Anna,Morales López,ASIX2,anna.moraleslópez@insgabrielamistral.cat,"xTEo,b4k-#",anna.moraleslópez@insgabrielamistral.cat,"xTEo,b4k-#"
Maria,Morales Martínez,SMIX1A,maria.moralesmartínez@insgabrielamistral.cat,I`Ydoz9xy`,maria.moralesmartínez@insgabrielamistral.cat,I`Ydoz9xy`
Carles,Garcia Morales,SMIX1A,carles.garciamorales@insgabrielamistral.cat,MaED4h?6uS,carles.garciamorales@insgabrielamistral.cat,MaED4h?6uS
Marc,Colom Ferrer,SMIX1B,marc.colomferrer@insgabrielamistral.cat,d`sn4{'mCJ,marc.colomferrer@insgabrielamistral.cat,d`sn4{'mCJ
Maria,López Torres,1rESO,maria.lópeztorres@insgabrielamistral.cat,LM=a&_!;eo,maria.lópeztorres@insgabrielamistral.cat,LM=a&_!;eo
Maria,Garcia Vidal,SMIX1A,maria.garciavidal@insgabrielamistral.cat,UKF>od-:xn,maria.garciavidal@insgabrielamistral.cat,UKF>od-:xn
Marc,Morales Vidal,SMIX1B,marc.moralesvidal@insgabrielamistral.cat,]XSo7j~a^u,marc.moralesvidal@insgabrielamistral.cat,]XSo7j~a^u
Marta,Sanchez Sanchez,SMIX1B,marta.sanchezsanchez@insgabrielamistral.cat,MPXot*sBD|,marta.sanchezsanchez@insgabrielamistral.cat,MPXot*sBD|
Clara,Colom Ferrer,SMIX1A,clara.colomferrer@insgabrielamistral.cat,bYW~-m3J:O,clara.colomferrer@insgabrielamistral.cat,bYW~-m3J:O
Carles,Martínez Martínez,2nESO,carles.martínezmartínez@insgabrielamistral.cat,LL*&Wc44Z+,carles.martínezmartínez@insgabrielamistral.cat,LL*&Wc44Z+
Josep,Sanchez Navarro,3rESO,josep.sancheznavarro@insgabrielamistral.cat,T8IU[JY++{,josep.sancheznavarro@insgabrielamistral.cat,T8IU[JY++{
Marta,Ferrer Ribas,3rESO,marta.ferrerribas@insgabrielamistral.cat,+qswxPNQ*R,marta.ferrerribas@insgabrielamistral.cat,+qswxPNQ*R
Carles,Prat López,SMIX1B,carles.pratlópez@insgabrielamistral.cat,dsm#tIqami,carles.pratlópez@insgabrielamistral.cat,dsm#tIqami
Joan,Morales López,SMIX1B,joan.moraleslópez@insgabrielamistral.cat,U?nz/_ticl,joan.moraleslópez@insgabrielamistral.cat,U?nz/_ticl
Anna,Sanchez Sanchez,DAM2,anna.sanchezsanchez@insgabrielamistral.cat,"bY%kI4,~uG",anna.sanchezsanchez@insgabrielamistral.cat,"bY%kI4,~uG"
Anna,Garcia Mas,DAM2,anna.garciamas@insgabrielamistral.cat,BxX%HO]sl0,anna.garciamas@insgabrielamistral.cat,BxX%HO]sl0
Maria,Gomez Mas,SMIX1A,maria.gomezmas@insgabrielamistral.cat,)OqfXFzH<o,maria.gomezmas@insgabrielamistral.cat,)OqfXFzH<o
Clara,López Costa,DAM2,clara.lópezcosta@insgabrielamistral.cat,"]~=ZlM%Fq""",clara.lópezcosta@insgabrielamistral.cat,"]~=ZlM%Fq"""
Anna,López Bosch,ASIX2,anna.lópezbosch@insgabrielamistral.cat,]_uZ0_}S^[,anna.lópezbosch@insgabrielamistral.cat,]_uZ0_}S^[
Clara,Torres Torres,1rESO,clara.torrestorres@insgabrielamistral.cat,3CvS>lxH`_,clara.torrestorres@insgabrielamistral.cat,3CvS>lxH`_
Nuria,Torres Sanchez,4rtESO,nuria.torressanchez@insgabrielamistral.cat,-#X<4QWC8},nuria.torressanchez@insgabrielamistral.cat,-#X<4QWC8}
Carles,Sanchez Garcia,ASIX1,carles.sanchezgarcia@insgabrielamistral.cat,.)aKaf!>_},carles.sanchezgarcia@insgabrielamistral.cat,.)aKaf!>_}
Joan,Mas Costa,ASIX2,joan.mascosta@insgabrielamistral.cat,y2$f5*1XdQ,joan.mascosta@insgabrielamistral.cat,y2$f5*1XdQ
Jordi,Costa Bosch,SMIX1A,jordi.costabosch@insgabrielamistral.cat,"hG'[&""L,Bz",jordi.costabosch@insgabrielamistral.cat,"hG'[&""L,Bz"
Josep,López Ribas,3rESO,josep.lópezribas@insgabrielamistral.cat,OfnK)C`vz8,josep.lópezribas@insgabrielamistral.cat,OfnK)C`vz8
Nuria,Vidal Ribas,2nESO,nuria.vidalribas@insgabrielamistral.cat,mWax-Wcd[:,nuria.vidalribas@insgabrielamistral.cat,mWax-Wcd[:
Mireia,Navarro Martínez,SMIX1A,mireia.navarromartínez@insgabrielamistral.cat,p[&B8SfnEq,mireia.navarromartínez@insgabrielamistral.cat,p[&B8SfnEq
Laura,Morales Garcia,SMIX1B,laura.moralesgarcia@insgabrielamistral.cat,t>ob'$@5E6,laura.moralesgarcia@insgabrielamistral.cat,t>ob'$@5E6
Sergi,Morales Gomez,2nESO,sergi.moralesgomez@insgabrielamistral.cat,8'nz\A|Ao{,sergi.moralesgomez@insgabrielamistral.cat,8'nz\A|Ao{
Nuria,Sanchez Sanchez,SMIX1A,nuria.sanchezsanchez@insgabrielamistral.cat,"cdmPe#%""f:",nuria.sanchezsanchez@insgabrielamistral.cat,"cdmPe#%""f:"
Anna,Ferrer Sanchez,DAM1,anna.ferrersanchez@insgabrielamistral.cat,l$hqg3&ykq,anna.ferrersanchez@insgabrielamistral.cat,l$hqg3&ykq
Mireia,Ribas Bosch,DAM2,mireia.ribasbosch@insgabrielamistral.cat,ePu2IYAA|q,mireia.ribasbosch@insgabrielamistral.cat,ePu2IYAA|q
Jordi,Ribas Torres,ASIX2,jordi.ribastorres@insgabrielamistral.cat,dC;/3g1Bb1,jordi.ribastorres@insgabrielamistral.cat,dC;/3g1Bb1
Nuria,Morales Garcia,4rtESO,nuria.moralesgarcia@insgabrielamistral.cat,"EXz!x}^:"".",nuria.moralesgarcia@insgabrielamistral.cat,"EXz!x}^:""."
Clara,López Ribas,DAM1,clara.lópezribas@insgabrielamistral.cat,"W&|+b5#A""P",clara.lópezribas@insgabrielamistral.cat,"W&|+b5#A""P"
Albert,López Costa,SMIX1B,albert.lópezcosta@insgabrielamistral.cat,"MvrB,kVo?,",albert.lópezcosta@insgabrielamistral.cat,"MvrB,kVo?,"
Clara,López Gomez,DAM2,clara.lópezgomez@insgabrielamistral.cat,/X9{fS{VxH,clara.lópezgomez@insgabrielamistral.cat,/X9{fS{VxH
Jordi,Mas Costa,DAM2,jordi.mascosta@insgabrielamistral.cat,",Dj7;>WiUI",jordi.mascosta@insgabrielamistral.cat,",Dj7;>WiUI"
Nuria,Navarro Prat,DAM2,nuria.navarroprat@insgabrielamistral.cat,R$MKc*uCi!,nuria.navarroprat@insgabrielamistral.cat,R$MKc*uCi!
Sandra,Mas Colom,DAM1,sandra.mascolom@insgabrielamistral.cat,_uBQEM{%-Q,sandra.mascolom@insgabrielamistral.cat,_uBQEM{%-Q
Laura,Ribas López,1rESO,laura.ribaslópez@insgabrielamistral.cat,>SQr>37b|U,laura.ribaslópez@insgabrielamistral.cat,>SQr>37b|U
Marta,López Navarro,4rtESO,marta.lópeznavarro@insgabrielamistral.cat,Bc]5lVPb't,marta.lópeznavarro@insgabrielamistral.cat,Bc]5lVPb't
Marc,Prat Ribas,SMIX1B,marc.pratribas@insgabrielamistral.cat,1<4L9.SpE',marc.pratribas@insgabrielamistral.cat,1<4L9.SpE'
Carles,Martínez Ferrer,ASIX2,carles.martínezferrer@insgabrielamistral.cat,"_`;,Hz""G.h",carles.martínezferrer@insgabrielamistral.cat,"_`;,Hz""G.h"
Sandra,Bosch Prat,SMIX1A,sandra.boschprat@insgabrielamistral.cat,KS#JgWPNI?,sandra.boschprat@insgabrielamistral.cat,KS#JgWPNI?
Mireia,Martínez Prat,DAM2,mireia.martínezprat@insgabrielamistral.cat,m3>5T4/cYe,mireia.martínezprat@insgabrielamistral.cat,m3>5T4/cYe
Josep,Gomez Prat,DAM2,josep.gomezprat@insgabrielamistral.cat,e0N}vr}}!A,josep.gomezprat@insgabrielamistral.cat,e0N}vr}}!A
Sergi,Costa Prat,SMIX1A,sergi.costaprat@insgabrielamistral.cat,{2R@PL?|p_,sergi.costaprat@insgabrielamistral.cat,{2R@PL?|p_
David,Ferrer Mas,DAM1,david.ferrermas@insgabrielamistral.cat,`:u\=@S5*r,david.ferrermas@insgabrielamistral.cat,`:u\=@S5*r
Jordi,Vidal Sanchez,DAM1,jordi.vidalsanchez@insgabrielamistral.cat,]d{/R:yh3I,jordi.vidalsanchez@insgabrielamistral.cat,]d{/R:yh3I
Albert,Ferrer Morales,DAM2,albert.ferrermorales@insgabrielamistral.cat,"Bt]N!-9UF,",albert.ferrermorales@insgabrielamistral.cat,"Bt]N!-9UF,"
Clara,Vidal Vidal,ASIX1,clara.vidalvidal@insgabrielamistral.cat,t3/qa\qEPN,clara.vidalvidal@insgabrielamistral.cat,t3/qa\qEPN
Carles,Garcia Torres,1rESO,carles.garciatorres@insgabrielamistral.cat,B/C7k^?n^2,carles.garciatorres@insgabrielamistral.cat,B/C7k^?n^2
Sandra,Garcia Vidal,3rESO,sandra.garciavidal@insgabrielamistral.cat,&HfP&/4D~\,sandra.garciavidal@insgabrielamistral.cat,&HfP&/4D~\
David,Vidal Vidal,ASIX1,david.vidalvidal@insgabrielamistral.cat,v1#@Y6)Vs\,david.vidalvidal@insgabrielamistral.cat,v1#@Y6)Vs\
Marta,Sanchez Costa,DAM2,marta.sanchezcosta@insgabrielamistral.cat,82=m:U0z6N,marta.sanchezcosta@insgabrielamistral.cat,82=m:U0z6N
Maria,López Colom,2nESO,maria.lópezcolom@insgabrielamistral.cat,<rf7Bb<Tv~,maria.lópezcolom@insgabrielamistral.cat,<rf7Bb<Tv~
Jordi,López Mas,2nESO,jordi.lópezmas@insgabrielamistral.cat,O0kk-0s@|r,jordi.lópezmas@insgabrielamistral.cat,O0kk-0s@|r
Carles,Morales Garcia,ASIX2,carles.moralesgarcia@insgabrielamistral.cat,~ccmTuhb7S,carles.moralesgarcia@insgabrielamistral.cat,~ccmTuhb7S
Anna,Navarro Prat,1rESO,anna.navarroprat@insgabrielamistral.cat,";5:pU""2+0r",anna.navarroprat@insgabrielamistral.cat,";5:pU""2+0r"
Albert,Colom Colom,1rESO,albert.colomcolom@insgabrielamistral.cat,2J<ZZn$I#q,albert.colomcolom@insgabrielamistral.cat,2J<ZZn$I#q
Jordi,Torres Martínez,ASIX2,jordi.torresmartínez@insgabrielamistral.cat,l6Lmtm&Gk{,jordi.torresmartínez@insgabrielamistral.cat,l6Lmtm&Gk{
Sergi,Bosch Prat,SMIX1B,sergi.boschprat@insgabrielamistral.cat,P^beb1;C?u,sergi.boschprat@insgabrielamistral.cat,P^beb1;C?u
Joan,Morales Navarro,4rtESO,joan.moralesnavarro@insgabrielamistral.cat,z>Z6NR:NA/,joan.moralesnavarro@insgabrielamistral.cat,z>Z6NR:NA/
Laura,Bosch Mas,1rESO,laura.boschmas@insgabrielamistral.cat,"5K^r7Pika""",laura.boschmas@insgabrielamistral.cat,"5K^r7Pika"""
Marc,Torres Prat,DAM1,marc.torresprat@insgabrielamistral.cat,Ya5gAbU}I4,marc.torresprat@insgabrielamistral.cat,Ya5gAbU}I4
